Name,Value.videoId,Value.author,text
1,6GGyrT3EQ84,flower bed,2022
2,6GGyrT3EQ84,YNG gaming,Ok
3,6GGyrT3EQ84,ExoZombiesFan2009,holyshit the most recent comments are from 2 years ago
4,6GGyrT3EQ84,Arens,almost 2019 guys
5,6GGyrT3EQ84,George0988,nice animation
6,6GGyrT3EQ84,shikamaru nara,nyan
7,6GGyrT3EQ84,Miss Parrot,Real video? .-.
8,6GGyrT3EQ84,Bryce Winter,"<a href=""http://www.youtube.com/watch?v=6GGyrT3EQ84&amp;t=0m50s"">0:50</a> my face when I get spawnkilled"
9,6GGyrT3EQ84,Isabelle Teta,??
10,6GGyrT3EQ84,Teetaz,LOL
11,6GGyrT3EQ84,Vape Tricks,Rip vid
12,6GGyrT3EQ84,j,what video is that from
13,6GGyrT3EQ84,Olga Cat,"?? ??????, ????? ??????? ???????? ?????? ??????????,? 9000000 ?????????? ??? ???????? ? 47000000 ?????????? <br>????? 2 ??????? ??????????<br>????? ?? ??????"
14,6GGyrT3EQ84,robert carroll jackson,i&#39;m one of your many subscribers
15,6GGyrT3EQ84,Anastasia,Omg I couldn&#39;t stop laughing ????????
16,6GGyrT3EQ84,Im Dronn,...................__<br>............./??/&#39;...&#39;/???`˙?<br>........../&#39;/.../..../......./??\<br>........(&#39;(...?...?.... ?~/&#39;...&#39;)<br>.........\.................&#39;...../<br>..........&#39;&#39;...\.......... _.˙?<br>............\..............(
17,6GGyrT3EQ84,oh i think they like me,Who is watching this in 2016?
18,6GGyrT3EQ84,Chad Champion,I laughed SO HARD watching this
19,6GGyrT3EQ84,blank,samgladiator lost his mind right
20,6GGyrT3EQ84,vic,"go to (eg: <a href=""http://kisscartoon.me/"">http://kisscartoon.me/</a> or <a href=""http://kisscartoon.me/Cartoon/Shingeki-no-Kyojin"">http://kisscartoon.me/Cartoon/Shingeki-no-Kyojin</a> etc.) and watch all your favorite cartoon and anime"
21,BhkBifP4aiQ,mia mae,Cant stop watching I LIKE DUCK SALTYYYY
22,BhkBifP4aiQ,Baka no Krow,Thats cool.
23,BhkBifP4aiQ,Harold Daniel,Best fanfiction ever 
24,BhkBifP4aiQ,wildanemone,Am I the only one who found this hilarious and freaky?
